ds,y
2020-11-13,2962.8144
2020-11-14,2737.0336
2020-11-15,3188.808
2020-11-16,2714.796
2020-11-17,2406.06709
2020-11-18,2589.3504
2020-11-19,2435.496
2020-11-20,2665.9584
2020-11-21,3281.093189
2020-11-22,2696.377075
2020-11-23,2577.7927
2020-11-24,3019.7916
2020-11-25,3056.6592
2020-11-26,2678.62
2020-11-27,2823.749515
2020-11-28,3388.253809
2020-11-29,3501.0255
2020-11-30,3050.9136
2020-12-01,2918.685
2020-12-02,2933.7672
2020-12-03,3622.8003
2020-12-04,2629.794397
2020-12-05,2463.129955
2020-12-06,2684.2592
2020-12-07,2741.2896
2020-12-08,3029.8464
2020-12-09,2603.3154
2020-12-10,2997.0486
2020-12-11,2921.6376
2020-12-12,3167.5945
2020-12-13,3167.5945
2020-12-14,3383.354511
2020-12-15,2714.591329
2020-12-16,2585.035107
